domain	journal
www.nature.com	Nature
journals.plos.org	PLOS
academic.oup.com	Oxford Academic
journals.asm.org	ASM Journals
pnas.org	PNAS
linkinghub.elsevier.com	Elsevier
www.worldscientific.com	World Scientific
www.tandfonline.com	Taylor and Francis Online
www.mdpi.com	MDPI
ieeexplore.ieee.org	IEEE Xplore
direct.mit.edu	MIT Press Direct
link.springer.com	Springer Link
www.cambridge.org	Cambridge University Press
translational-medicine.biomedcentral.com	BMC Journal of Translational Medicine
onlinelibrary.wiley.com	Wiley Online Library
www.jmir.org	Journal of Medical Internet Research
mhealth.jmir.org	JMIR mHealth and uHealth
f1000research.com	F1000Research
journals.sagepub.com	Sage Journals
www.mattioli1885journals.com	Mattioli 1885 Journal
www.hindawi.com	Hindawi
mental.jmir.org	JMIR Mental Health
www.science.org	Science
ijbnpa.biomedcentral.com	BMC International Journal of Behavioral Nutrition and Physical Activity
www.ncmedicaljournal.com	North Carolina Medical Journal
www.dovepress.com	Dove Press
www.frontiersin.org	Frontiers
pubs.acs.org	ACS Publications
nsca.allenpress.com	STRENGTH AND CONDITIONING JOURNAL
journals.lww.com	Lippincott
journals.humankinetics.com	Human Kinetics Journals
www.thieme-connect.de	Thieme
sportsmedicine-open.springeropen.com	SpringerOpen Sports Medicine
kns.cnki.net	cnki
koreascience.or.kr	KoreaScience
www.cnki.net	cnki
thesai.org	The Science and Information Organization
jkms.org	Journal of Korean Medical Science
publications.aap.org	American Academy of Pediatrics
adc.bmj.com	BMJ Archives of Disease in Childhood
emj.bmj.com	BMH Emergency Medicine Journal
annalsofintensivecare.springeropen.com	SpringerOpen Annals of Intensive Care
jamanetwork.com	JAMA Network
epubs.siam.org	Society for Industrial and Applied Mathematics
www.ipol.im	Image Processing On Line
opg.optica.org	Optica Publishing Group
dl.acm.org	ACM Digital Library
airccse.org	AIRCC Publishing Corporation
www.techscience.com	Tech Science Press
ascelibrary.org	ASCE Library
www.jasss.org	JASSS
ij-healthgeographics.biomedcentral.com	BMC International Journal of Health Geographics
www.scirp.org	Scientific Research Publishing
www.liebertpub.com	Mary Ann Liebert, Inc. publishers
aodr.org	Archives of Design Research
www.ijpronline.com	International Journal of Pharmaceutical Research
fdslive.oup.com	Oxford Academic ?
elifesciences.org	eLife
www.bmj.com	thebmj
joss.theoj.org	The Journal of Open Source Software
journal.r-project.org	The R Journal
peerj.com	PeerJ Publishing
bjsm.bmj.com	BMJ British Journal of Sports Medicine
www.annualreviews.org	Annual Reviews
journals.aps.org	APS Physical Review Journals
cmjournal.biomedcentral.com	BMC Chinese Medicine
bmcecolevol.biomedcentral.com	BMC Ecology and Evolution
d.wanfangdata.com.cn	Wanfang Data
gh.bmj.com	BMJ Global Health
www.healthaffairs.org	Health Affairs
ajph.aphapublications.org	American Journal of Public Health
jech.bmj.com	BMJ Epidemiology and Community Health
royalsocietypublishing.org	The Royal Society
n.neurology.org	Neurology
svn.bmj.com	BMJ Stroke and Vascular Neurology
www.ijo.cn	Inernational Journal of Opthalmology
iovs.arvojournals.org	Investigative Opthalmology and Visual Science
www.ahajournals.org	AHA/ASA Journals
www.karger.com	Karger
ojrd.biomedcentral.com	BMC Orphanet Journal of Rare Diseases
jnnp.bmj.com	BMJ Neurology, Neurosurgery & Psychiatry
alzres.biomedcentral.com	BMC Alzheimer's Research & Therapy
neurolrespract.biomedcentral.com	BMC Neurological Research and Practice
www.thejcn.com	Journal of Clinical Neurology
www.eurekaselect.com	Bentham Science Publishers
asa.scitation.org	Acoustical Society of America
pubs.asha.org	ASHAWIRE
cshperspectives.cshlp.org	Cold Spring Harbor Perspectives in Biology
fibrogenesis.biomedcentral.com	BMC Fibrogenesis and Tissue Repair
asmedigitalcollection.asme.org	The American Society of Mechanical Engineers
www.icevirtuallibrary.com	ICE Virtual Library
www.nejm.org	The New England Journal of Medicine
jech.bmj.com	BMJ Epidemiology and Community Health
bmcpsychiatry.biomedcentral.com	BMC Psychiatry
bjgp.org	British Journal of General Practice
bmcpublichealth.biomedcentral.com	BMC Public Health
pubs.rsna.org	RSNA Journals
breast-cancer-research.biomedcentral.com	BMC Breast Cancer Research
journals.biologists.com	The Company of Biologists
www.ijdb.ehu.es	The International Journal of Developmental Biology
aacrjournals.org 	American Association for Cancer Research
gan.sagepub.com	Sage Journals
www.rhinologyjournal.com	European Rhinology Society
bmcpulmmed.biomedcentral.com	BMC Pulmonary Medicine
projecteuclid.org	Project Euclid
bmcmedinformdecismak.biomedcentral.com	BMC Medical Informatics and Decision Making
bmcpublichealth.biomedcentral.com	BMC Public Health
bmjopen.bmj.com	BMJ Open
www.jstor.org	JSTOR
aip.scitation.org	AIP Publishing
www.acpjournals.org	American College of Physicians







